t	load	pv	z_settle	EXPLOIT	R_P	R_FE96	S_AR
435	95.77	95.55	-26.96	-1.0	1.0	-1.0	1.0
436	91.66	95.28	-30.42	-1.0	1.0	-1.0	1.0
437	93.41	96.78	-31.16	-1.0	1.0	-1.0	1.0
438	92.68	80.68	-4.81	-1.0	1.0	-1.0	1.0
439	93.14	102.86	-28.94	-1.0	0.2	-0.9	0.5
440	94.53	101.65	-27.79	-1.0	1.0	-0.6	1.0
441	95.91	96.0	-30.85	-1.0	1.0	-0.4	1.0
442	93.33	97.41	-35.17	-1.0	1.0	-0.6	1.0
443	94.57	93.63	-27.26	-1.0	1.0	-0.7	1.0
444	97.13	93.03	57.04	-1.0	1.0	-0.5	1.0
445	94.42	93.2	75.62	-1.0	-1.0	-0.5	-1.0
446	96.65	71.85	74.9	-1.0	-1.0	-0.3	-1.0
447	94.22	88.23	79.48	-1.0	-1.0	0.0	-1.0
448	96.53	87.86	79.58	-1.0	-1.0	0.0	-1.0
449	94.06	66.81	74.19	-1.0	-1.0	0.0	-1.0
450	94.74	72.3	68.72	-1.0	-1.0	0.0	-1.0
451	92.66	73.26	63.48	-1.0	-1.0	0.0	-1.0
452	94.43	68.1	61.78	-1.0	-1.0	0.0	-1.0
453	91.81	63.95	58.99	-1.0	-1.0	0.0	-0.6
454	91.96	57.78	53.43	-1.0	-0.3	0.0	0.0
455	89.52	47.87	58.61	-1.0	0.0	0.0	0.0
456	90.48	48.08	54.08	-1.0	0.0	0.0	0.0
457	79.73	41.54	50.64	-1.0	0.0	0.0	0.0
458	80.99	31.19	53.96	-1.0	0.0	0.0	0.0
459	78.39	22.05	55.6	-1.0	0.0	0.0	0.0
460	78.45	22.22	61.29	-1.0	0.0	0.0	0.0
461	76.45	16.06	60.65	-1.0	0.0	0.0	0.0
462	73.11	11.2	47.57	-1.0	0.0	0.0	0.0
463	56.4	7.09	51.68	-1.0	0.0	0.0	0.0
464	56.71	4.04	53.42	-1.0	0.0	0.0	0.0
465	55.73	2.07	53.18	-1.0	0.0	0.0	0.0
466	55.01	0.83	55.7	-1.0	0.0	0.0	0.0
467	54.78	0.1	54.6	-1.0	0.0	0.0	0.0
468	55.46	0.0	54.76	-1.0	0.0	0.0	0.0
469	57.17	0.0	54.54	-1.0	0.0	0.0	0.0
470	55.35	0.0	55.11	-1.0	0.0	0.0	0.0
471	55.0	0.0	53.83	-1.0	0.0	0.0	0.0
472	54.39	0.0	53.55	-1.0	0.0	0.0	0.0
473	55.84	0.0	53.0	-1.0	0.0	0.0	0.0
474	55.68	0.0	54.78	-1.0	0.0	0.0	0.0
475	56.71	0.0	53.51	-1.0	0.0	0.0	0.0
476	55.7	0.0	53.73	-1.0	0.0	0.0	0.0
477	52.56	0.0	53.94	-1.0	1.0	1.0	1.0
478	52.86	0.0	53.56	-1.0	1.0	1.0	1.0
479	52.93	0.0	53.79	-1.0	1.0	1.0	1.0
480	53.09	0.0	52.79	-1.0	1.0	1.0	1.0
481	53.03	0.0	53.68	-1.0	1.0	1.0	1.0
482	53.07	0.0	54.1	-1.0	1.0	1.0	1.0
483	54.71	0.0	53.28	-1.0	1.0	1.0	1.0
484	54.26	0.0	53.12	-1.0	1.0	1.0	1.0
485	53.19	0.0	53.41	-1.0	1.0	1.0	1.0
486	54.17	0.0	52.78	-1.0	1.0	1.0	1.0
487	53.74	0.0	53.61	-1.0	1.0	1.0	1.0
488	53.61	0.0	53.32	-1.0	1.0	1.0	1.0
489	54.12	0.0	53.63	-1.0	1.0	1.0	1.0
490	54.14	0.0	53.53	-1.0	1.0	1.0	1.0
491	54.49	0.0	53.11	-1.0	1.0	1.0	1.0
492	54.01	0.0	52.96	-1.0	1.0	1.0	1.0
493	54.1	0.0	54.17	-1.0	0.7	0.7	0.8
494	54.06	0.0	54.81	-1.0	0.0	0.0	0.0
495	52.97	0.0	54.19	-1.0	0.0	0.0	0.0
496	54.57	0.0	53.84	-1.0	0.0	0.0	0.0
497	54.08	0.0	53.94	-1.0	0.0	0.0	0.0
498	53.67	0.0	53.88	-1.0	0.0	0.0	0.0
499	54.11	0.0	54.99	-1.0	0.0	0.0	0.0
500	53.92	0.0	52.58	-1.0	0.0	0.0	0.0
501	54.66	0.0	54.55	-1.0	0.0	0.0	0.0
502	53.99	0.0	54.37	-1.0	0.0	0.0	0.0
503	54.91	0.0	53.72	-1.0	0.0	0.0	0.0
504	53.8	0.0	55.15	-1.0	0.0	0.0	0.0
505	52.64	0.0	53.96	-1.0	0.0	0.0	0.0
506	54.51	0.0	55.04	-1.0	0.0	0.0	0.0
507	54.3	0.0	53.97	-1.0	0.0	0.0	0.0
508	54.67	0.0	51.81	-1.0	0.0	0.0	0.0
509	61.27	0.72	50.55	-1.0	-1.0	0.0	-1.0
510	64.83	3.06	47.09	-1.0	-1.0	0.0	-1.0
511	68.75	6.57	43.67	-1.0	-1.0	0.0	-1.0
512	76.6	6.64	38.31	-1.0	-1.0	0.0	-1.0
513	82.35	7.64	31.52	-1.0	-1.0	0.0	-1.0
514	85.43	8.6	25.57	-1.0	-1.0	0.0	-1.0
515	87.37	10.86	18.78	-1.0	-1.0	0.0	-1.0
516	90.5	14.78	13.45	-1.0	-1.0	0.0	-1.0
517	91.71	46.67	7.07	-1.0	-0.7	0.0	-0.9
518	91.45	62.79	-0.31	-1.0	-0.3	0.0	-0.7
519	92.24	79.84	-2.97	-1.0	0.0	0.0	-0.9
520	92.95	51.62	-9.52	-1.0	0.2	0.0	-0.3
521	90.44	68.34	-13.26	-1.0	0.5	0.0	0.1
522	91.37	73.54	-18.6	-1.0	0.7	0.0	0.0
523	91.82	96.72	-22.83	-1.0	1.0	0.0	0.0
524	92.11	74.09	-26.35	-1.0	1.0	0.0	-0.1
525	90.87	55.44	-29.17	-1.0	1.0	0.0	0.5
526	93.26	50.48	-32.6	-1.0	1.0	-0.1	0.5
527	91.97	57.29	-35.3	-1.0	1.0	-0.7	0.7
528	91.68	76.68	-37.16	-1.0	1.0	-0.7	0.1
529	88.78	103.7	-38.65	-1.0	1.0	-1.0	-0.1
530	91.33	97.0	-39.38	-1.0	0.9	-1.0	1.0
531	92.18	120.02	-41.14	-1.0	0.7	-1.0	1.0
532	90.91	117.87	-41.83	-1.0	0.0	-0.5	1.0
533	89.59	120.01	-45.98	-1.0	0.0	-1.0	1.0
534	91.7	122.86	-45.0	-1.0	0.0	-1.0	1.0
535	92.58	97.39	-46.78	-1.0	0.0	-1.0	1.0
536	90.52	119.46	-40.2	-1.0	0.0	-1.0	1.0
537	91.33	119.12	-45.08	-1.0	0.0	-0.9	1.0
538	91.77	122.61	-43.38	-1.0	0.0	-0.7	1.0
539	88.02	123.18	-39.25	-1.0	0.0	-0.5	1.0
540	92.16	119.42	-5.4	-1.0	0.0	-0.5	0.3
541	94.93	37.89	-19.22	-1.0	0.0	-0.5	0.0
542	93.13	17.51	-35.39	-1.0	0.0	-0.8	0.0
543	92.45	17.55	15.66	-1.0	0.0	-0.4	0.0
544	92.91	13.43	11.22	-1.0	-0.8	-0.2	-0.7
545	91.05	11.47	-12.74	-1.0	-0.6	0.0	-0.3
546	89.28	15.09	5.25	-1.0	0.6	0.0	0.5
547	90.96	22.24	-2.37	-1.0	-0.3	0.0	-0.1
548	89.04	25.56	-9.67	-1.0	0.1	0.0	0.0
549	88.57	26.79	-5.48	-1.0	0.5	0.0	0.1
550	86.82	27.83	1.35	-1.0	0.3	0.0	0.1
551	86.06	32.63	5.34	-1.0	-0.1	0.0	0.0
552	85.21	26.6	15.48	-1.0	-0.3	-0.1	-0.2
553	75.18	21.1	22.59	-1.0	-0.8	0.0	-0.5
554	74.49	23.84	28.26	-1.0	-1.0	0.0	-0.8
555	73.59	19.63	32.31	-1.0	-1.0	0.0	-1.0
556	73.42	17.83	41.87	-1.0	-1.0	-0.2	-1.0
557	72.32	11.03	49.95	-1.0	-1.0	-0.9	-1.0
558	70.03	9.38	49.29	-1.0	-1.0	-0.4	-1.0
559	55.71	8.14	50.95	-1.0	-1.0	0.0	-1.0
560	56.59	4.91	51.38	-1.0	-1.0	0.0	-1.0
561	55.97	2.55	52.52	-1.0	-1.0	0.0	-0.9
562	54.22	1.04	53.03	-1.0	-1.0	0.0	-1.0
563	55.88	0.18	54.05	-1.0	-1.0	0.0	-1.0
564	54.6	0.0	53.42	-1.0	-1.0	0.0	-1.0
565	54.76	0.0	53.48	-1.0	-1.0	0.0	-0.3
566	54.54	0.0	53.88	-1.0	-1.0	0.0	-1.0
567	55.11	0.0	53.22	-1.0	-0.6	0.0	-1.0
568	53.83	0.0	53.68	-1.0	0.0	0.0	-0.8
569	53.55	0.0	53.85	-1.0	0.0	0.0	-0.2
570	53.0	0.0	53.52	-1.0	0.0	0.0	0.0
571	54.78	0.0	53.44	-1.0	0.0	0.0	0.0
572	53.51	0.0	53.6	-1.0	0.0	0.0	0.0
573	53.73	0.0	53.82	-1.0	1.0	1.0	1.0
574	53.94	0.0	53.98	-1.0	1.0	1.0	1.0
575	53.56	0.0	53.37	-1.0	1.0	1.0	1.0
576	53.79	0.0	53.85	-1.0	1.0	1.0	1.0
577	52.79	0.0	54.25	-1.0	1.0	1.0	1.0
578	53.68	0.0	53.49	-1.0	1.0	1.0	1.0
579	54.1	0.0	53.8	-1.0	1.0	1.0	1.0
580	53.28	0.0	54.0	-1.0	1.0	1.0	1.0
581	53.12	0.0	53.85	-1.0	1.0	1.0	1.0
582	53.41	0.0	53.06	-1.0	1.0	1.0	1.0
583	52.78	0.0	54.12	-1.0	1.0	1.0	1.0
584	53.61	0.0	53.28	-1.0	1.0	1.0	1.0
585	53.32	0.0	53.78	-1.0	1.0	1.0	1.0
586	53.63	0.0	53.37	-1.0	1.0	1.0	1.0
587	53.53	0.0	53.21	-1.0	1.0	1.0	1.0
588	53.11	0.0	55.31	-1.0	1.0	1.0	1.0
589	52.96	0.0	54.35	-1.0	0.8	0.8	0.8
590	54.17	0.0	54.01	-1.0	0.0	0.0	0.0
591	54.81	0.0	54.12	-1.0	0.0	0.0	0.0
592	54.19	0.0	55.08	-1.0	0.0	0.0	0.0
593	53.84	0.0	54.45	-1.0	0.0	0.0	0.0
594	53.94	0.0	55.11	-1.0	0.0	0.0	0.0
595	53.88	0.0	54.37	-1.0	0.0	0.0	0.0
596	54.99	0.0	54.39	-1.0	0.0	0.0	0.0
597	52.58	0.0	54.7	-1.0	0.0	0.0	0.0
598	54.55	0.0	54.68	-1.0	0.0	0.0	0.0
599	54.37	0.0	54.09	-1.0	0.0	0.0	0.0
600	53.72	0.0	53.99	-1.0	0.0	0.0	0.0
601	55.15	0.0	54.76	-1.0	0.0	0.0	0.0
602	53.96	0.0	53.89	-1.0	0.0	0.0	0.0
603	55.04	0.0	54.07	-1.0	0.0	0.0	0.0
604	53.97	0.0	51.45	-1.0	0.0	0.0	0.0
605	53.4	1.6	50.21	-1.0	-1.0	0.0	-1.0
606	54.4	3.85	47.4	-1.0	-1.0	0.0	-1.0
607	53.82	6.73	43.82	-1.0	-1.0	0.0	-1.0
608	54.57	10.9	37.12	-1.0	-1.0	0.0	-1.0
609	54.48	16.17	34.36	-1.0	-1.0	0.0	-1.0
610	53.52	22.0	38.26	-1.0	-1.0	0.0	-1.0
611	53.78	28.21	21.82	-1.0	-1.0	0.0	-1.0
612	53.44	34.67	13.61	-1.0	-1.0	0.0	-1.0
613	54.15	40.7	8.31	-1.0	-0.7	0.0	-0.9
614	54.19	47.13	2.26	-1.0	-0.4	0.0	-0.8
615	52.77	53.08	-3.54	-1.0	-0.1	0.0	-1.0
616	55.53	58.5	-6.52	-1.0	0.2	0.0	-0.3
617	53.83	63.35	-12.46	-1.0	0.4	0.0	0.0
618	54.19	67.46	-17.51	-1.0	0.7	0.0	0.0
619	53.4	72.0	-20.57	-1.0	1.0	0.0	0.0
620	54.2	77.03	-27.09	-1.0	1.0	0.0	-0.1
621	54.41	80.77	-26.25	-1.0	1.0	0.0	0.5
622	54.2	83.37	-30.41	-1.0	1.0	-0.5	0.3
623	53.94	86.54	-39.0	-1.0	1.0	-0.6	0.6
624	54.0	89.3	-44.91	-1.0	1.0	-1.0	0.2
625	54.63	91.79	-27.74	-1.0	1.0	-1.0	0.0
626	54.31	92.96	10.15	-1.0	1.0	-1.0	0.6
627	53.31	92.69	-48.42	-1.0	-0.6	-1.0	0.0
628	54.01	95.15	-28.86	-1.0	1.0	-1.0	1.0
629	54.09	95.91	-32.63	-1.0	0.5	-1.0	1.0
630	53.91	99.89	-49.65	-1.0	0.0	-1.0	1.0
631	54.69	99.69	-43.01	-1.0	0.0	-1.0	1.0
632	53.89	100.67	-43.86	-1.0	0.0	-1.0	1.0
633	53.83	94.03	-11.37	-1.0	0.0	-0.8	1.0
634	53.94	99.02	-18.7	-1.0	0.0	-0.5	0.5
635	53.7	97.08	-27.65	-1.0	0.0	-0.2	0.4
636	53.78	93.03	-29.29	-1.0	0.0	0.0	0.7
637	54.06	59.46	-1.05	-1.0	0.0	0.0	0.5
638	54.18	73.4	16.94	-1.0	0.0	-0.1	0.0
639	54.37	89.77	-4.63	-1.0	-0.9	0.0	-0.6
640	53.69	38.03	-19.2	-1.0	0.2	0.0	0.0
641	53.84	42.62	-8.69	-1.0	0.8	0.2	0.9
642	54.0	66.74	21.22	-1.0	0.0	0.2	0.4
643	54.35	49.1	38.95	-1.0	-1.0	0.0	-0.8
644	53.93	56.3	38.42	-1.0	-1.0	0.0	-1.0
645	54.29	63.96	40.5	-1.0	-1.0	0.0	-1.0
646	54.12	59.59	38.29	-1.0	-1.0	0.0	-1.0
647	54.1	52.75	35.36	-1.0	-1.0	0.0	-1.0
648	53.67	48.33	28.33	-1.0	-1.0	0.0	-1.0
649	54.34	38.87	34.73	-1.0	-1.0	0.0	-0.9
650	53.73	31.14	32.17	-1.0	-1.0	-0.5	-1.0
651	54.75	26.49	43.58	-1.0	-1.0	-0.2	-1.0
652	53.51	21.2	46.68	-1.0	-1.0	-0.2	-0.7
653	54.02	12.15	49.22	-1.0	-1.0	-1.0	-1.0
654	54.55	4.6	51.96	-1.0	-1.0	-1.0	-1.0
655	53.53	4.23	51.78	-1.0	-1.0	-0.9	-1.0
656	54.11	3.16	54.22	-1.0	-1.0	0.0	-0.7
657	53.39	2.01	52.98	-1.0	-1.0	0.0	-0.7
658	53.3	0.78	52.55	-1.0	-0.1	0.0	-0.1
659	53.03	0.0	53.88	-1.0	0.0	0.0	0.0
660	54.05	0.0	54.23	-1.0	0.0	0.0	0.0
661	53.42	0.0	53.11	-1.0	0.0	0.0	0.0
662	53.48	0.0	53.57	-1.0	0.0	0.0	0.0
663	53.88	0.0	53.31	-1.0	0.0	0.0	0.0
664	53.22	0.0	53.1	-1.0	0.0	0.0	0.0
665	53.68	0.0	53.11	-1.0	0.0	0.0	0.0
666	53.85	0.0	54.45	-1.0	0.0	0.0	0.0
667	53.52	0.0	53.92	-1.0	0.0	0.0	0.0
668	53.44	0.0	53.68	-1.0	0.0	0.0	0.0
669	53.6	0.0	53.82	-1.0	1.0	1.0	1.0
670	53.82	0.0	54.53	-1.0	1.0	1.0	1.0
671	53.98	0.0	54.04	-1.0	1.0	1.0	1.0
672	53.37	0.0	54.04	-1.0	1.0	1.0	1.0
